DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
Zimbabwe;61.5;11;8.5;2666;0.484;14.6;0.501;28.8;0.353;0.931;2375;458;86.1;34.6;78.1;14.6;32.2;2.1;8;0.4;18.7;3
SolomonIslands;73;10.2;5.7;2253;0.717;0;0;19.4;0.379;0;1974;104;78;4.1;82.1;0.7;24.2;0.1;0.4;0;19.9;3
SyrianArabRepublic;72.7;8.9;5.1;3613;0.705;0;0;0;0;0.829;989;31;38.6;13.2;14.4;17.1;54.8;1.8;11;0.8;25.6;3
Cameroon;59.3;12.1;6.3;3581;0.402;31.7;0.373;35;0.351;0.864;2973;529;105.8;29.3;71.1;25.9;57;4.1;14.2;0.7;18.7;3
Pakistan;67.3;8.3;5.2;5005;0.51;43.5;0.227;17.2;0.489;0.745;1393;140;38.8;20;21.9;216.6;36.9;27.7;131.3;9.4;22.8;3
PapuaNewGuinea;64.5;10.2;4.7;4301;0.52;35.7;0.282;28.9;0.404;0;3767;145;52.7;0;46.3;8.8;13.2;1.1;5.4;0.3;22.4;3
Comoros;64.3;11.2;5.1;3099;0.485;47.6;0.252;56;0.228;0.891;2300;273;65.4;6.1;36.6;0.9;29.2;0.1;0.5;0;20.4;3
Mauritania;64.9;8.6;4.7;5135;0.484;40.8;0.234;24.6;0.449;0.864;2782;766;71;20.3;28.9;4.5;54.5;0.7;2.6;0.1;20.1;4
Benin;61.8;12.6;3.8;3254;0.418;43.7;0.269;32;0.358;0.855;2837;397;86.1;7.2;68.8;11.8;47.9;1.9;6.4;0.4;18.8;4
Uganda;63.4;11.4;6.2;2123;0.486;27.9;0.377;24.9;0.346;0.863;1591;375;118.8;34.9;67;44.3;24.4;7.7;22.8;0.9;16.7;4
Rwanda;69;11.2;4.4;2155;0.607;29.3;0.324;36.4;0.295;0.945;1876;248;39.1;55.7;83.9;12.6;17.3;1.8;7.2;0.4;20;4
